cenario,sinal,janela,media,desvio,minimo,maximo
Fonte CA (partida direta),conjugado,pre_carga,8.311181505520639e-08,1.204794251683073e-07,1.0797193276899747e-09,5.092283801250456e-07
Fonte CA (partida direta),conjugado,pos_carga,6.246411381769456,3.790834310975994e-07,6.246409916116617,6.246411610829318
Fonte CA (partida direta),velocidade_rpm,pre_carga,1799.9999989639728,1.5019540213715973e-06,1799.9999936519619,1799.999999986717
Fonte CA (partida direta),velocidade_rpm,pos_carga,1703.3290560532755,6.570343810324685e-06,1703.3290520830844,1703.3290814559184
Fonte CA (partida direta),corrente_a,pre_carga,6.601885023845474e-10,2.857106754371219,-4.040474326345981,4.040474330011996
Fonte CA (partida direta),corrente_a,pos_carga,0.009809322232475503,4.4186455028260285,-6.24313575932277,6.243135759733031
Fonte CA (partida direta),conjugado,partida_completa,4.674605968225342,7.993466792076224,0.0,36.60603270327253
Fonte CA (partida direta),velocidade_rpm,partida_completa,1568.4796462307918,468.944000632114,0.0,1799.999999986717
Fonte CA (partida direta),corrente_a,partida_completa,-0.008551797283881541,9.733066743872493,-35.8000899605339,36.279634683374496
Fonte CA (partida direta),conjugado,apos_degrau_completa,5.997600489163952,0.8501305902441438,0.01307561801255099,6.246411610829318
Inversor V/F,conjugado,pre_carga,-4.9106847776251544e-05,0.6670151768514945,-1.5862463193300878,1.6941576785280699
Inversor V/F,conjugado,pos_carga,6.24642174157876,0.6104214017668737,5.021942433861445,7.633501344414185
Inversor V/F,velocidade_rpm,pre_carga,1799.9247291615059,0.31308776319186576,1799.1549556090915,1800.5535538831298
Inversor V/F,velocidade_rpm,pos_carga,1703.4640899631568,0.20558487171947565,1703.0898822066956,1703.8452556926602
Inversor V/F,corrente_a,pre_carga,-0.01890869261563493,2.9050077243389603,-5.254562026311767,5.105618492530169
Inversor V/F,corrente_a,pos_carga,-0.0159410066263873,4.440782525605563,-6.6873900746093256,6.808375234375919
Inversor V/F,conjugado,partida_completa,4.67439053492111,5.654871979896153,-1.5862463193300878,26.126845477971553
Inversor V/F,velocidade_rpm,partida_completa,1029.6058034076937,722.7903406890164,-5.030862702796925e-05,1800.5535538831298
Inversor V/F,corrente_a,partida_completa,-0.0871304302032418,10.30490752487425,-28.586895791098065,31.368367642209527
Inversor V/F,conjugado,apos_degrau_completa,5.995824809857712,1.0521800627724447,-1.1533726894669374,7.633501344414185
Inversor FOC,conjugado,pre_carga,2.0799125405187344,4.7222617323248794,-10.793299438163606,11.993811599612695
Inversor FOC,conjugado,pos_carga,6.247424519476367,0.3811310315796621,5.051327653127791,7.929177179928716
Inversor FOC,velocidade_rpm,pre_carga,1542.983795212001,53.2947117344008,1486.8311870309756,1692.2514342373665
Inversor FOC,velocidade_rpm,pos_carga,1709.080027538811,0.08025731531142258,1708.837272363512,1709.2722066053504
Inversor FOC,corrente_a,pre_carga,0.3092456891157761,7.83995458758171,-19.901739639741518,19.585300367827575
Inversor FOC,corrente_a,pos_carga,0.027710187216613044,5.895818092639648,-9.32099910235208,10.020535933124034
Inversor FOC,conjugado,partida_completa,4.39488475207395,6.197561041711442,-15.147001291360189,25.687951627185246
Inversor FOC,velocidade_rpm,partida_completa,1266.8921168010224,497.8393555991435,-8.919235800670595e-12,1710.5396949131577
Inversor FOC,corrente_a,partida_completa,0.1926370242571523,7.664936824847332,-19.901739639741518,20.07468257212755
Inversor FOC,conjugado,apos_degrau_completa,6.290100416592517,0.4480847716470644,4.842472933607185,9.114665494223921
