cenario,grandeza,evento,t_ini,t_fim,ref,escala,y_ini,y_reg,t_reg,t_pk,y_pk,sobressinal_pct,ha_sobressinal,excursao_significativa,t_acom,y_acom,tempo_acom,t_sub0,y_sub0,t_sub1,y_sub1,tempo_subida,tubo_inf,tubo_sup
Fonte CA (partida direta),conjugado,Entrada em velocidade nominal,0.0,1.5,0.0,6.246411611858415,0.0,0.0028385931031727164,1.4255,0.189,20.3870204917758,326.3342726242144,True,False,0.553,0.31186363305438747,0.553,0.0,7.183374404358271,0.015,18.53708427451278,0.015,-0.3123205805929208,0.3123205805929208
Fonte CA (partida direta),conjugado,Após a entrada da carga,1.5,3.0,6.246411611858415,6.246411611858415,0.015124292713707415,6.24641160802686,2.9254999999999995,3.0,6.246411610783976,4.424633584555071e-08,True,True,1.684,5.936207924705956,0.18399999999999994,1.51,0.6903928955172329,1.639,5.6304379112107314,0.129,5.934091031265494,6.558732192451336
Fonte CA (partida direta),velocidade,Entrada em velocidade nominal,0.0,1.5,1709.9999999999998,1709.9999999999998,0.0,1799.884153597088,1.4255,1.49,1799.999999983692,0.006436324603033019,True,True,,,,0.041,181.99065590354152,0.35000000000000003,1620.5057551315342,0.30900000000000005,1624.4999999999998,1795.4999999999998
Fonte CA (partida direta),velocidade,Após a entrada da carga,1.5,3.0,1709.9999999999998,1709.9999999999998,1799.3469887444692,1703.329052131619,2.9254999999999995,3.0,1703.3290520838523,4.974764447366962e-08,True,True,1.5010000000000001,1794.8371156675196,0.001000000000000112,1.506,1789.5655255702254,1.645,1712.8885891812838,0.139,1624.4999999999998,1795.4999999999998
Inversor V/F,conjugado,Entrada em velocidade nominal,0.0,1.5,0.0,6.246411611858415,0.0,0.0028242789477218705,1.4249950000000002,0.7289000000000001,19.704906430019104,315.4144071080464,True,False,1.08209,0.3113868945593545,1.08209,0.04531,1.9710724971193403,0.6772400000000001,17.73656232501328,0.6319300000000001,-0.3123205805929208,0.3123205805929208
Inversor V/F,conjugado,Após a entrada da carga,1.5,3.0,6.246411611858415,6.246411611858415,-0.08073789483749674,6.256738558416029,2.925005,3.0,6.47595523989378,3.459053190883412,True,True,1.6997900000000001,5.934108524824648,0.19979000000000013,1.5087100000000002,0.5539554799533448,1.6478700000000002,5.623360753807548,0.13915999999999995,5.934091031265494,6.558732192451336
Inversor V/F,velocidade,Entrada em velocidade nominal,0.0,1.5,1709.9999999999998,1709.9999999999998,0.0,1799.8928944070658,1.4249950000000002,1.48174,1800.2920125419341,0.022174549169483318,True,True,,,,0.28401000000000004,179.9897574595676,0.8790800000000001,1619.9072972930433,0.59507,1624.4999999999998,1795.4999999999998
Inversor V/F,velocidade,Após a entrada da carga,1.5,3.0,1709.9999999999998,1709.9999999999998,1799.4397838180475,1703.4660545921622,2.925005,2.9560000000000004,1703.2852311622937,0.1884092983850899,True,True,1.50045,1795.4949040384486,0.00045000000000006146,1.50604,1789.83855626914,1.6446600000000002,1713.061940533115,0.1386200000000002,1624.4999999999998,1795.4999999999998
Inversor FOC,conjugado,Entrada em velocidade nominal,0.0,1.5,0.0,6.246411611858415,0.0,5.268046386883501,1.4249950000000002,0.02619,15.003696776682226,184.805707368841,True,True,,,,0.0,0.7712713248571769,0.00902,4.741682553009502,0.00902,-0.3123205805929208,0.3123205805929208
Inversor FOC,conjugado,Após a entrada da carga,1.5,3.0,6.246411611858415,6.246411611858415,7.605309089948395,6.246186351026305,2.925005,1.63671,6.176384202128492,5.135823785361137,True,True,1.5685300000000002,6.558371184119496,0.0685300000000002,1.5000000000000002,6.97275441488204,1.5714700000000001,6.381985833933394,0.07146999999999992,5.934091031265494,6.558732192451336
Inversor FOC,velocidade,Entrada em velocidade nominal,0.0,1.5,1709.9999999999998,1709.9999999999998,0.0,1573.564031034032,1.4249950000000002,0.6959500000000001,1710.0909461635124,8.676285962113965,True,True,1.4633200000000002,1624.501760742048,1.4633200000000002,0.06139000000000001,157.37255181458085,0.55278,1416.218617466234,0.49139000000000005,1624.4999999999998,1795.4999999999998
Inversor FOC,velocidade,Após a entrada da carga,1.5,3.0,1709.9999999999998,1709.9999999999998,1672.1934334529842,1709.0778390829728,2.925005,1.5000000000000002,1688.0171077936484,-1.231621712825988,True,False,1.5000000000000002,1688.0171077936484,2.220446049250313e-16,1.5000000000000002,1688.0171077936484,1.5000000000000002,1688.0171077936484,0.0,1624.4999999999998,1795.4999999999998
